scientific_name,native_provinces
Abies amabilis,BC
Abies balsamea,AB|MB|NB|NS|ON|PE|PM|QC|SK
Abies bifolia,AB|BC|NT|YT
Abies grandis,BC
Abies lasiocarpa,BC|YT
Abronia latifolia,BC
Abronia umbellata,BC
Acalypha rhomboidea,NB|ON|QC
Acer circinatum,BC
Acer glabrum,AB|BC
Acer macrophyllum,BC
Acer negundo,AB|MB|ON|SK
Acer nigrum,ON|QC
Acer nigrum × Acer saccharum,QC
Acer pensylvanicum,NB|NS|ON|PE|QC
Acer rubrum,NB|NS|ON|PE|QC
Acer saccharinum,NB|ON|QC
Acer saccharum,NB|NS|ON|PE|QC
Acer spicatum,MB|NB|NS|ON|PE|PM|QC|SK
Acer ×freemanii,ON
Achillea alpina,AB|BC|MB|NT|ON|QC|SK|YT
Achillea borealis,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Achillea millefolium,SK
Achlys californica,BC
Achlys triphylla,BC
Acmispon americanus,BC|MB|SK
Acmispon denticulatus,BC
Acmispon parviflorus,BC
Aconitum columbianum,BC
Aconitum delphiniifolium,AB|BC|NT|YT
Acorus americanus,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK
Actaea elata,BC
Actaea pachypoda,NB|NS|ON|PE|QC
Actaea racemosa,ON
Actaea rubra,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Actaea ×ludovici,ON|QC
Adenocaulon bicolor,AB|BC|ON
Adiantum aleuticum,AB|BC|QC
Adiantum capillus-veneris,BC
Adiantum pedatum,NB|NS|ON|QC
Adiantum viridimontanum,QC
Adlumia fungosa,MB|NB|NS|ON|QC
Adoxa moschatellina,AB|BC|MB|NT|ON|SK|YT
Aesculus glabra,ON
Agalinis aspera,MB
Agalinis gattingeri,MB|ON
Agalinis maritima,NS
Agalinis neoscotica,NB|NS
Agalinis purpurea,MB|NB|NS|ON|QC
Agalinis skinneriana,ON
Agalinis tenuifolia,MB|NS|ON|QC
Agastache foeniculum,AB|MB|NT|ON|SK
Agastache nepetoides,ON|QC
Agastache scrophulariifolia,ON
Agastache urticifolia,BC
Ageratina altissima,NB|NS|ON|QC
Agoseris aurantiaca,AB|BC|NT|QC|YT
Agoseris glauca,AB|BC|MB|NT|ON|SK
Agoseris grandiflora,BC
Agoseris heterophylla,BC
Agrimonia gryposepala,BC|MB|NB|NS|ON|PE|QC
Agrimonia parviflora,ON
Agrimonia pubescens,ON|QC
Agrimonia striata,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Agrostis clavata,YT
Agrostis exarata,AB|BC|NT|SK|YT
Agrostis hyemalis,ON
Agrostis idahoensis,BC
Agrostis mertensii,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Agrostis microphylla,BC
Agrostis oregonensis,BC
Agrostis pallens,BC
Agrostis perennans,NB|NS|ON|PE|QC
Agrostis scabra,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Agrostis variabilis,AB|BC
Alchemilla alpina,PM|QC
Alchemilla filicaulis,NB|NS|PM|QC
Alchemilla glomerulans,QC
Aletris farinosa,ON
Alisma gramineum,AB|BC|MB|ON|QC|SK
Alisma subcordatum,NB|ON|QC
